ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
76,PC,PC Progress Incomplete,,I el que has de fer és posar-hi una marca de verificació.,Vous allez devoir les réparer...,Du musst sie alle in Häkchen verwandeln.,Tienes que convertirlos todos en marcas de verificación.,Você precisa transformar todos eles em sinais de visto.,Вместо него должна быть галочка.,だから3つとも、チェックマークに 変えないといけない。,이것들을 전부 체크 표시로 만들어야 하죠.,你得把它们都变成对勾才行。,你得把它們都變成勾勾才行。
77,PC,PC Progress Incomplete,,"Com aquesta. Això és una marca de verificació, humà.",Pour obtenir ce symbole. Ce symbole signifie que la réparation a été effectuée.,"So. Das ist ein Häkchen, Mensch.","Así. Esto es una marca de verificación, humano.","Tipo assim. Isto é um sinal de visto, humano.","Примерно такая. Смотри, человек, это - галочка.",こんなふうにね。これがチェック マークよ、人間。,"이런 식으로요. 이게 체크 표시입니다, 인간.",就这样。对勾长这样，人类。,就這樣。勾勾長這樣，人類。
78,PC,PC Progress Incomplete,,Aquest és tot el teu progrés actual. Ehem.,"Ça, c'est votre progression actuelle. Hmm.",Hier ist dein bisheriger Fortschritt. Ähem.,Estos son tus progresos hasta el momento. Ejem.,Este é o seu progresso até o momento. *Cof cof*,Вот твой текущий прогресс. Кгхм.,現在の状況を言うわね。コホン。,당신의 진행 상황입니다. 에헴.,这里是你目前的进度。咳咳。,這裡是你目前的進度。咳咳。
79,PC,PC Progress Incomplete,,Sembla que has netejat l'aqüeducte. Molt bé.,Il semblerait que vous ayez réparé les canalisations. C'est bien.,Offenbar hast du das geflutete Aquädukt entleert. Gut.,Parece que has despejado el acueducto inundado. Muy bien.,Parece que você drenou o Aqueduto inundado. Ok.,Вода из Акведука откачана. Славно.,アクアダクトの水漏れは直した みたいね。やるじゃない。,물에 잠긴 송수로를 정리한 모양이네요. 잘했어요.,看起来你搞定了被水淹没的大渡槽。不错。,看起來你搞定了被水淹沒的大溝渠。不錯。
80,PC,PC Progress Incomplete,,Excés d’aigua a l'aqüeducte. Mala pinta.,Fuite importante dans les canalisations. C'est inquiétant.,Übermäßige Überflutung im Aquädukt. Nicht gut.,Exceso de agua en el acueducto. Mal asunto.,Excesso de água no Aqueduto. Isso não é nada bom.,Акведук затоплен. Не славно.,アクアダクトが水浸しになってる。 まずいわ。,송수로에 물이 과하게 잠겨 있어요. 좋지 않아요.,大渡槽区域存在大量洪水。不妙。,大溝渠區域有洪水。不妙。
81,PC,PC Progress Incomplete,,S'ha refredat el nucli de l'escalfador. Bona.,Le module de chauffage a été refroidi. C'est très bien.,Der Wärmetauscher wurde abgekühlt. So ist es gut.,El núcleo calefactor se ha enfriado. Así se hace.,O Núcleo de Calefação foi resfriado. Boa.,Нагревательное ядро охлаждено. Отлично.,加熱炉は冷却されたわ。いいかんじ。,히터 코어가 냉각 상태네요. 잘했어요.,加热核心已经被冷却掉了。挺好。,加熱核心已經被冷卻掉了。很好。
82,PC,PC Progress Incomplete,,El nucli de l'escalfador encara està sobrecalfat.,Le module de chauffage présente toujours des signes de surchauffe.,Der Wärmetauscher ist immer noch stark überhitzt.,El núcleo calefactor sigue sufriendo un grave sobrecalentamiento.,O Núcleo de Calefação ainda está seriamente superaquecido.,Нагревательное ядро все еще перегревается.,加熱炉は今も絶賛オーバーヒート中よ。,히터 코어가 심각하게 과열된 상태예요.,加热核心仍有严重过热危险。,加熱核心仍有嚴重過熱危險。
83,PC,PC Progress Incomplete,,Tot el sistema de ventilació està net. Impressionant.,Système de ventilation dégagé. Impressionnant.,Das Lüftungssystem ist frei. Beeindruckend.,El sistema de ventilación está totalmente despejado. Impresionante.,O Sistema de Ventilação foi desentupido. Impressionante.,Вентиляция очищена. Впечатляюще.,換気システムの詰まりは解消された。 たいしたものね。,통풍 시스템이 모두 정리됐네요. 아주 잘했어요.,通风系统已经清理好了。有两下子。,通風系統已經清理好了。有兩下子。
84,PC,PC Progress Incomplete,,El sistema de ventilació està obstruït. Terrible.,Le système de ventilation est toujours bouché. Ce n'est pas bon.,Das Lüftungssystem ist komplett verstopft. Eine eklige Angelegenheit.,El sistema de ventilación está congestionado. Muy desagradable.,O Sistema de Ventilação ainda está entupido. Que nojo.,Вентиляция полностью заблокирована. Фу.,換気システムが塞がっちゃってる。 厄介だわ。,통풍 시스템이 모두 막혔어요. 불쾌하군요.,通风系统全堵住了。挺棘手的。,通風系統全堵住了。蠻棘手的。
85,PC,PC Progress Incomplete,,Només puc garantir l'accés al laboratori si no hi ha cap aparell espatllat a tota la instal·lació.,Vous ne pouvez pas entrer dans le laboratoire tant que tout n'est pas réparé.,"Zugang zum Labor kann ich nur gewähren, wenn alle Fehlfunktionen behoben wurden.",Solo puedo conceder acceso al laboratorio si se reparan todas las averías.,Só posso conceder acesso ao Laboratório se todos os problemas forem sanados.,"Я смогу открыть двери в лабораторию только тогда, когда поломки будут устранены.",すべての異常が修理されるまで、 ラボへ通すわけにはいかないの。,모든 오작동이 수리돼야 실험실 출입을 허가해줄 수 있어요.,只有所有故障都被修好，我才能授权你进入实验室。,只有等全部故障都被修好，我才能授權你進入實驗室。
86,Gary,PC Progress Incomplete,,Quina andròmina més desagradable. Som-hi mixeta.,"Saleté de machine. Allez, minette.","Was für eine verachtenswerte Maschine. Auf gehts, Kätzchen.","Qué máquina tan despreciable. Vamos, gatita.","Que máquina metida à besta. Vamos lá, bichana.","Вот же гадина. Пойдем, котейка.",いちいち鼻につくコンピュータめ。 いくぞ、ネコちゃん。,"이거 참 경멸스러운 기계네. 가자, 나비야.",真是个卑鄙无耻的机器。走吧，小猫咪。,真是個卑鄙無恥的機器。走吧，小貓咪。
87,Gary,PC Progress Update,,"Ordinador, fes-me una actualització.","Ordinateur, on peut avoir un état des lieux ?","Computer, ein Update bitte.","A ver, computadora, actualicemos.","Computador, me dê uma atualização.","Компьютер, обновление ситуации.",コンピュータよ、更新を頼もう。,"컴퓨터, 업데이트를 부탁해.",电脑，给我更新一下进展。,電腦，幫我更新一下進展。
88,PC,PC Progress Update,,"Aquest és el teu progrés actual, humà.",Voici votre progression actuelle.,"Hier ist dein bisheriger Fortschritt, Mensch.","Estos son tus progresos hasta el momento, humano.","Este é o seu progresso até o momento, humano.",Вот твой текущий прогресс.,今のところはこうよ、人間。,"당신의 진행 상황입니다, 인간.",这是你目前的进度，人类。,這是你目前的進度，人類。
89,PC,PC Progress Update,,"Encara tens un munt de feina pendent, humà. Tot i que...",Vous avez encore beaucoup à faire. Enfin...,"Du hast noch eine Menge zu tun, Mensch. Wobei ...","Te queda mucho por hacer, humano. Aunque...","Você ainda tem muito o que fazer, humano. No entanto...","Дел еще целая куча, человек. Кроме того...",まだまだ先は長いわ、人間。 っていうか...,"당신은 지금 할 일이 많아요, 인간. 하지만...",还剩不少事儿要做呢，人类。虽然...,還剩不少事情要做呢，人類。雖然...
90,PC,PC Progress Update,,Sembla que és el felí el que ho fa tot.,J'ai l'impression que c'est la chatte qui fait tout.,"Es scheint, als würde die Katze die ganze Arbeit erledigen.",Parece que el felino está haciendo todo el trabajo.,Parece que o felino está fazendo todo o trabalho.,"У меня создалось ощущение, что делает их кошка.",実際はそのネコがやっているのよね。,그 고양이가 할 일을 잘 하고 있는 거 같군요.,看上去所有活都是这猫科动物在动手。,看上去所有事都是這貓科動物在動手。
91,Gary,PC Progress Update,,"Gràcies per l'actualització. Som-hi, mixeta.","Merci pour l'info. Allez, minette.","Danke für das Update. Auf gehts, Kätzchen.","Gracias por la actualización. Vamos, gatita.","Obrigado pela atualização. Vamos lá, bichana.","Спасибо за обновление. Пойдем, котейка.",報告をどうも。いくぞ、ネコちゃん。,"업데이트 고마워. 가자, 나비야.",谢谢你的更新。走吧，小猫咪。,謝謝你的更新。走吧，小貓咪。
92,Gary,PC Decoder Quest Begin,,"Ei, ordinador. Saps què?","Hé l'ordi, devine quoi ?","Hey, Computer. Rate mal!","Oye, PC. ¿Sabes qué?","Ei, PC. Adivinha só?","Эй, комп. Знаешь что?",やあ、PC。おどろくぞ？,"야, PC. 내가 왜 불렀게?",嘿，电脑。你猜怎么着？,嘿，電腦。你猜猜？
93,PC,PC Decoder Quest Begin,,"Un segon, humà...",Un instant...,"Einen Moment, Mensch ...","Un momento, humano...","Espere um minuto, humano...",Секунду.,ちょっと待って、人間...,"일 분만 기다려 보세요, 인간...",稍等片刻，人类...,等等嘛，人類...
94,PC,PC Decoder Quest Begin,,CALIBRANT L'ALGORISME D'ENDEVINALLES...,CALIBRATION DE L'ALGORITHME DE DIVINATION...,RATEALGORITHMUS WIRD KALIBRIERT ...,CALIBRANDO ALGORITMO DE ADIVINACIÓN...,CALIBRANDO ALGORITMO DE ADIVINHAÇÃO...,ЗАПУСК УГАДЫВАТЕЛЬНОГО АЛГОРИТМА...,推測アルゴリズムを調整中...,부른 이유 추정 알고리즘 계산 중...,正在校准猜测算法...,正在校準猜測演算法...
95,Gary,PC Decoder Quest Begin,,Què?,Quoi ?,Was?,¿Qué?,Ahn?,Что?,はあ？,뭐?,什么？,什麼？
96,PC,PC Decoder Quest Begin,,Correcte.,Correct.,Korrekt.,Correcto.,Correto.,Именно.,正解よ。,알겠어요.,猜对了。,猜對了。
97,PC,PC Decoder Quest Begin,,Aquesta és la teva actualització de progrés.,Voici votre progression actuelle.,Hier ist das Update zu deinem Fortschritt.,Esta es la actualización de tus progresos.,Aqui está seu progresso atualizado.,Текущий прогресс обновлен.,現在の状況を教えるわ、人間サマ。,"진행 상황 업데이트입니다, 인간.",这里是你目前的进度，长官。,這裡是你目前的進度，長官。
98,PC,PC Decoder Quest Begin,,Tots els aparells reparats!,Toutes les pannes ont été réparées !,Alle Gefahren beseitigt!,¡Todos los peligros eliminados!,Todos os perigos foram eliminados!,Все проблемы устранены!,すべての危険が取り除かれました！,모든 위험 요소가 해결됐군요!,所有毒物都被清除了！,所有毒物都被清除了！
99,Gary,PC Decoder Quest Begin,,Hurra! Ara podrem entrar al laboratori!,Hourra ! On va enfin pouvoir entrer dans le labo !,Hurra! Jetzt können wir uns endlich das Labor ansehen!,¡Hurra! ¡Por fin podremos echar un vistazo al laboratorio!,Oba! Agora finalmente vamos poder entrar no laboratório!,Ура! Наконец-то мы можем попасть в лабораторию.,やったぞ！これでようやくラボへ 向かえる！,좋아! 이제 드디어 실험실을 확인해볼 수 있겠어!,好耶！！终于可以进实验室看看了！,好耶！！終於可以進實驗室看看了！
100,PC,PC Decoder Quest Begin,,"Si us plau, introduïu la paraula de pas.",Veuillez saisir le mot de passe.,Bitte das Passwort eingeben.,"Por favor, introduce la contraseña.",Insira a senha.,Введите пароль.,パスワードを入力してください。,암호를 입력해주세요.,请输入密码。,請輸入密碼。
101,Gary,PC Decoder Quest Begin,,DE DEBÒ?!?,SÉRIEUX ?,ERNSTHAFT?!,¡¿EN SERIO?!,SÉRIO?!,СЕРЬЕЗНО?!,冗談だろう？！？,겨우 여기까지 왔는데 암호라고?!?,你开玩笑吗？！,你開玩笑嗎？！
102,Gary,PC Decoder Quest Begin,,Molt bé mixeta. Tranquil·litat.,"Bon, minette. Gardons notre calme.","Okay, Kätzchen. Immer mit der Ruhe.","Vale, gatita. Vamos a calmarnos.","Desculpe, bichana. Vamos manter a calma.","Так, ладно, китик. Давай успокоимся.",よし、ネコちゃん。まずは落ち着こう。,"좋았어, 나비야. 침착하게 생각해보자.",好吧，小猫咪。咱们冷静一下。,好吧，小貓咪。我們冷靜一下。
103,Gary,PC Decoder Quest Begin,,Estic preparat per aquesta mena de contratemps.,Je sais ce qu'on va faire.,Ich bin auf so etwas vorbereitet.,Estaba preparado para algo así.,Eu vim preparado para algo assim.,Космодесантник всегда должен быть готов к такой ситуации.,こういった事態は想定していた。,이런 상황은 미리 준비해뒀지.,我这次是有备而来的。,我這次是有備而來的。
104,Gary,PC Decoder Quest Begin,,Deixa que accedeixi al descodificador de paraules de pas...,Je vais activer le décodeur de mot de passe.,Lass mich schnell den Passwort-Decoder benutzen ...,Voy a acceder en un momento al descodificador de contraseñas...,Só preciso acessar o Decodificador de Senhas rapidinho...,"Сейчас, у нас же есть дешифратор...",例のパスワードデコーダーを使って...,잠시 암호 해독기에 접속해볼게...,我先用一下解码仪...,我先用一下解碼器...
105,Gary,PC Decoder Quest Begin,,Descodificant...,Décodage...,Ich dekodiere ...,Descodificando...,Decodificando...,Дешифровка пошла...,パスワードを...,해독 중이야...,正在解码...,正在解碼...
106,Gary,PC Decoder Quest Begin,,Hola?,Allô ?,Hallo?,¿Hola?,Alô?,Эй?,うん？,저기요?,喂喂？,喂喂？
107,Gary,PC Decoder Quest Begin,,Qui hi ha?,Y a quelqu'un ?,Wer ist da?,¿Quién hay ahí?,Quem é?,Кто здесь?,誰かいるのか？,거기 누구신가요?,你是谁啊？,你是誰啊？
108,Gary,PC Decoder Quest Begin,,"No fotis, que carai és això?",Qu'est-ce que c'est que ça ?,"Heiliger Bimbam, was ist das?","Arrea, ¿qué es eso?","Minha nossa, o que é isso?","Господи, что это?",ったく、なんの音だ？,"아니, 대체 뭐야?",我的老天，那是个啥？,我的老天，那是什麼鬼？
109,Gary,PC Decoder Quest Begin,,"T'ho adverteixo, no te m'acostis-","N'avancez plus, attention...","Bleib zurück, i-ich warne dich ...","No te acerques, te... te lo advierto...","Não se aproxime, e-eu estou avisando!","А ну не подходи, я- Кому сказал, я сейчас-",さ、下がれ、こいつは警告だ...,"물러서라, 겨, 경고한-",别过来，我——我警告你啊——,別過來，我——我警告你啊——
